40
Budapest;1723810;19.0402;47.4979;1873
Debrecen;201432;21.6273;47.5316;1361
Szeged;160766;20.1414;46.2530;1242
Miskolc;154521;20.7833;48.1000;1365
Pecs;142873;18.2322;46.0727;1290
Gyor;132038;17.6351;47.6875;1271
Nyiregyhaza;116799;21.7243;47.9554;1837
Kecskemet;110687;19.6913;46.9063;1348
Szekesfehervar;96940;18.4103;47.1860;1247
Szombathely;78407;16.6218;47.2307;1328
Szolnok;71285;20.2000;47.1833;1075
Tatabanya;65849;18.4167;47.5667;1947
Kaposvar;61441;17.7900;46.3500;1316
Veszprem;59910;17.9114;47.0929;1920
Bekescsaba;58934;21.0947;46.6795;1918
Zalaegerszeg;57403;16.8439;46.8417;1885
Sopron;62671;16.5916;47.6850;1277
Eger;52898;20.3772;47.9026;1261
Nagykanizsa;46649;16.9910;46.4535;1928
Dunaujvaros;44200;18.9329;46.9610;1951
Hodmezovasarhely;43377;20.3244;46.4124;1922
Salgotarjan;32775;19.8030;48.0987;1922
Baja;34495;18.9507;46.1749;1696
Szekszard;31544;18.7035;46.3501;1905
Vach;32828;19.1275;47.7781;1014
Eszergom;28111;18.7402;47.7856;1111
Papa;29574;17.4661;47.3308;1389
Kazincbarcika;26337;20.6224;48.2520;1954
Gyula;29437;21.2829;46.6461;1313
Kiskunfelegyhaza;29039;19.8445;46.7122;1774
Oroshaza;27532;20.6667;46.5667;1946
Czegled;35508;19.7983;47.1744;1364
Jaszbereny;26815;19.9117;47.5011;1357
Szentendre;26447;19.0756;47.6694;1318
Siofok;25461;18.0580;46.9041;1950
Mako;22514;20.4778;46.2167;1299
Karcag;19980;20.9200;47.3150;1886
Hatvan;20167;19.6822;47.6672;1945
Keszthely;19286;17.2420;46.7674;1421
Budaors;29431;18.9601;47.4611;1986
