198;198
171;175
170;160
195;198
169;139
180;178
162;199
175;164
194;191
175;162
168;192
198;199
176;185
187;197
195;196
199;198
185;188
179;176
171;157
169;191
177;196
171;178
174;196
183;184
172;171
175;165
180;192
200;200
198;198
185;170
185;190
182;180
185;194
178;177
181;174
170;170
192;184
174;168
165;164
173;173
171;181
178;176
171;161
172;199
177;198
161;191
166;152
197;198
172;168
172;183
191;195
196;193
197;195
177;180
194;195
189;200
172;189
191;189
181;198
166;145
161;129
161;163
199;198
191;186
196;199
182;168
186;172
194;198
180;178
191;186
