2020.01.22;557;17
2020.01.23;98;1
2020.01.24;286;8
2020.01.25;493;16
2020.01.26;684;14
2020.01.27;809;26
2020.01.28;2651;49
2020.01.29;589;2
2020.01.30;2068;38
2020.01.31;1692;42
2020.02.01;2111;46
2020.02.02;4749;103
2020.02.03;3100;64
2020.02.04;4011;66
2020.02.05;3745;72
2020.02.06;3162;70
2020.02.07;3594;85
2020.02.08;2731;87
2020.02.09;3031;100
2020.02.10;2608;107
2020.02.11;2042;100
2020.02.12;418;5
2020.02.13;15152;253
2020.02.14;6528;152
2020.02.15;2143;143
2020.02.16;2183;104
2020.02.17;2035;98
2020.02.18;1882;140
2020.02.19;500;115
2020.02.20;560;125
2020.02.21;629;4
2020.02.22;1761;207
2020.02.23;380;11
2020.02.24;568;160
2020.02.25;854;80
2020.02.26;977;61
2020.02.27;1359;43
2020.02.28;1388;59
2020.02.29;1894;70
2020.03.01;2378;54
2020.03.02;1979;89
2020.03.03;2601;74
2020.03.04;2302;95
2020.03.05;2818;93
2020.03.06;3916;113
2020.03.07;4097;104
2020.03.08;3938;240
2020.03.09;4179;190
2020.03.10;4825;276
2020.03.11;7662;345
2020.03.12;5802;309
2020.03.13;14356;492
2020.03.14;11099;421
2020.03.15;11277;650
2020.03.16;14785;687
2020.03.17;16003;816
2020.03.18;19556;918
2020.03.19;27108;1116
2020.03.20;30876;1495
2020.03.21;32142;1723
2020.03.22;35107;1684
2020.03.23;42661;1958
2020.03.24;41085;2310
2020.03.25;51089;2824
2020.03.26;62862;3040
2020.03.27;64910;3485
2020.03.28;69665;3836
2020.03.29;56900;3477
2020.03.30;65279;4081
2020.03.31;76819;4732
2020.04.01;83000;6014
2020.04.02;83027;5892
2020.04.03;84229;6178
2020.04.04;59094;5980
2020.04.05;70856;5243
2020.04.06;73910;5935
2020.04.07;69606;8311
2020.04.08;83321;6829
2020.04.09;87007;7868
2020.04.10;85287;7417
2020.04.11;74390;6286
2020.04.12;119572;5940
2020.04.13;71053;6019
2020.04.14;83907;7105
2020.04.15;78221;8544
2020.04.16;95686;7419
2020.04.17;88038;8501
2020.04.18;77172;6202
2020.04.19;76775;5351
2020.04.20;75549;6048
2020.04.21;76056;7402
2020.04.22;81382;7027
2020.04.23;83998;6998
2020.04.24;84115;6914
2020.04.25;82351;5884
2020.04.26;71567;4253
2020.04.27;70247;4930
2020.04.28;75879;6835
2020.04.29;77025;6947
2020.04.30;83418;6054
2020.05.01;88493;5471
2020.05.02;79224;5844
2020.05.03;74608;3847
2020.05.04;77806;4552
2020.05.05;80269;6127
2020.05.06;90379;6885
2020.05.07;88962;5697
2020.05.08;90566;5928
2020.05.09;84290;4586
2020.05.10;75598;4041
2020.05.11;76308;3916
2020.05.12;84483;5880
2020.05.13;85011;5486
2020.05.14;95965;5582
2020.05.15;96159;5636
2020.05.16;94198;4550
2020.05.17;78268;3574
2020.05.18;88904;4149
2020.05.19;96845;5127
2020.05.20;102194;5193
2020.05.21;106835;5085
2020.05.22;106322;5657
2020.05.23;104471;4296
2020.05.24;94679;3484
2020.05.25;86378;1614
2020.05.26;93204;4641
2020.05.27;103619;5418
2020.05.28;118503;5008
2020.05.29;121170;5147
2020.05.30;136848;4380
2020.05.31;106611;3156
2020.06.01;95817;3514
2020.06.02;121740;5202
2020.06.03;114197;5842
2020.06.04;130872;5435
2020.06.05;131079;5054
2020.06.06;133820;4211
2020.06.07;112793;3185
2020.06.08;101285;4167
2020.06.09;124584;5199
2020.06.10;135337;5481
2020.06.11;137303;5055
2020.06.12;129172;4805
2020.06.13;135028;4443
2020.06.14;132648;3646
2020.06.15;118407;3838
2020.06.16;141710;7096
2020.06.17;144708;5574
2020.06.18;140632;5320
2020.06.19;180185;6379
2020.06.20;157577;4512
2020.06.21;128734;4618
2020.06.22;138381;3717
2020.06.23;167079;5564
2020.06.24;172879;5557
2020.06.25;178340;5055
2020.06.26;191842;5076
2020.06.27;178716;4771
2020.06.28;164959;3532
2020.06.29;153593;3996
2020.06.30;176396;5202
2020.07.01;217381;5326
2020.07.02;209769;5469
2020.07.03;202644;5315
2020.07.04;196868;4798
2020.07.05;183594;3842
2020.07.06;163795;4149
2020.07.07;209722;6333
2020.07.08;213722;5682
2020.07.09;225002;5799
2020.07.10;232710;5666
2020.07.11;217674;5241
2020.07.12;194417;4303
2020.07.13;190167;4281
2020.07.14;220806;5993
2020.07.15;231228;5858
2020.07.16;251591;6188
2020.07.17;242716;7038
2020.07.18;237370;6577
2020.07.19;214211;4901
2020.07.20;205490;3786
2020.07.21;234681;6408
2020.07.22;279708;7358
2020.07.23;282683;6640
2020.07.24;281879;6447
2020.07.25;255870;6185
2020.07.26;214248;4332
2020.07.27;226222;5205
2020.07.28;249925;6615
2020.07.29;288325;7041
2020.07.30;280676;6684
2020.07.31;290256;6525
2020.08.01;251228;6157
2020.08.02;231296;4676
2020.08.03;206500;4754
2020.08.04;254087;6972
2020.08.05;278006;7455
2020.08.06;282979;6831
2020.08.07;284002;6737
2020.08.08;259491;6089
2020.08.09;226919;5174
2020.08.10;223756;5279
2020.08.11;262227;6694
2020.08.12;273414;6958
2020.08.13;289377;6809
2020.08.14;303368;6631
2020.08.15;250479;6010
2020.08.16;215262;4817
2020.08.17;206695;4497
2020.08.18;256082;7059
2020.08.19;276452;7055
2020.08.20;273199;6413
2020.08.21;261191;5749
2020.08.22;265517;5874
2020.08.23;206493;4348
2020.08.24;223614;4679
2020.08.25;244590;6647
2020.08.26;282309;6569
2020.08.27;284853;6222
2020.08.28;283326;5828
2020.08.29;265306;5692
2020.08.30;221443;4428
2020.08.31;260197;4332
2020.09.01;265940;6663
2020.09.02;283219;6269
2020.09.03;281597;6070
2020.09.04;314323;5909
2020.09.05;270329;5215
2020.09.06;230298;4111
2020.09.07;218349;9598
2020.09.08;240484;5119
2020.09.09;285207;6177
2020.09.10;299822;6020
2020.09.11;321700;6031
2020.09.12;287267;5098
2020.09.13;242855;3963
2020.09.14;262639;4516
2020.09.15;285339;6607
2020.09.16;304531;5906
2020.09.17;314820;5606
2020.09.18;325975;5888
2020.09.19;292611;5372
2020.09.20;252648;3979
2020.09.21;274774;4326
2020.09.22;284763;6205
2020.09.23;276097;5617
2020.09.24;353542;6589
2020.09.25;331081;5917
2020.09.26;288949;5580
